nom,dosage,substance,presentation,forme,statut
18-FDG RIM,250 MBQ / ML,FLUDESOXYGLUCOSE (18F),FLACON MONO DOSE DE 15 ML,SOLUTION INJECTABLE,Commercialisé
18F PSMA RIM,250 MBQ / ML,[18F] PSMA-1007,BOITE D'UN FLACON MONODOSE DE 15 ML,SOLUTION INJECTABLE,AMM Sans Prix
18F PSMA RIM,250 MBQ / ML,[18F] PSMA-1007,BOITE D'UN FLACON MULTIDOSE DE 15 ML,SOLUTION INJECTABLE,AMM Sans Prix
18F-PSMA CYCLOPHARMA,1300 MBQ / ML,[18F] PSMA-1007,"FLACON MULTIDOSE EN VERRE DE 15 ML , CONTIENT UN VOLUME COMPRIS ENTRE 0.5 ET 10 ML DE SOLUTION","SOLUTION INJECTABLE, FLACON MULTIDOSE DE 10 ML DE SOLUTION MAXIMUM.",AMM Sans Prix
A.V.T.,"0,5 G / 0,002 G / 0,02 G",ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),BOITE DE 10,COMPRIME EFFERVESCENT,Commercialisé AO
A.V.T.,"0,5 G / 0,002 G / 0,02 G",ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),BOITE DE 20,COMPRIME EFFERVESCENT,Commercialisé
ABACT,1000 MG,AMPICILLINE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMM Sans Prix
ABACT,250 MG,AMPICILLINE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMM Sans Prix
ABACT,500 MG,AMPICILLINE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMM Sans Prix
ABBOTICINE,200 MG,ERYTHROMYCINE (ETHYLSUCCINATE),BOITE DE 1 FLACON DE 60 ML,GRANULE POUR SUSPENSION BUVABLE,Non Commercialisé
ABILIFY,10 MG,ARIPIPRAZOLE,BOITE DE 28,COMPRIME,Non Commercialisé
ABILIFY,15 MG,ARIPIPRAZOLE,BOITE DE 28,COMPRIME,Non Commercialisé
ABIP,15 MG,ARIPIPRAZOLE,BOITE DE 20 COMPRIMES PELLICULES,COMPRIMES PELLICULES,Non Commercialisé
ABIP,15 MG,ARIPIPRAZOLE,BOITE DE 30 COMPRIMES PELLICULES,COMPRIMES PELLICULES,Commercialisé
ABIRANAT,250 MG,ABIRATERONE (ACETATE),BOITE D’UN FLACON DE 120 COMPRIMES.,COMPRIME,Commercialisé
ABIRATERONE GT,250 MG,ABIRATERONE (ACETATE),BOITE DE 1 FLACON DE 120,COMPRIME,Commercialisé
ABSTRAL,100 µG,FENTANYL,BOITE DE 10,COMPRIME SUBLINGUAL,Commercialisé
ABSTRAL,200 µG,FENTANYL,BOITE DE 10,COMPRIME SUBLINGUAL,Commercialisé
ABSTRAL,400 µG,FENTANYL,BOITE DE 10,COMPRIME SUBLINGUAL,Non Commercialisé
ACARBOSE LAPROPHAN,100 MG,ACARBOSE,BOITE DE 30,COMPRIME,Non Commercialisé
ACARBOSE LAPROPHAN,50 MG,ACARBOSE,BOITE DE 30,COMPRIME,Non Commercialisé
ACARBOSE LAPROPHAN,100 MG,ACARBOSE,BOITE DE 90,COMPRIME,Non Commercialisé
ACARBOSE LAPROPHAN,50 MG,ACARBOSE,BOITE DE 90,COMPRIME,Non Commercialisé
ACARD,50 MG,LOSARTAN (POTASSIQUE),BOITE DE 14,COMPRIME PELLICULE,Non Commercialisé
ACARD,50 MG,LOSARTAN (POTASSIQUE),BOITE DE 28,COMPRIME PELLICULE,Non Commercialisé
ACCUPRIL,20 MG,QUINAPRIL,BOITE DE 28,COMPRIME,Retiré du Marché
ACCUPRIL,5 MG,QUINAPRIL,BOITE DE 28,COMPRIME,Retiré du Marché
ACCURECIL,250 MG,FLUOROURACILE,BOITE D'UN FLACON DE 5 ML,SOLUTION POUR INJECTION / PERFUSION IV,Commercialisé
ACCURECIL,500 MG,FLUOROURACILE,BOITE D'UN FLACON DE 10 ML,SOLUTION POUR INJECTION / PERFUSION IV,Commercialisé
ACEPRIL,2 MG,PERINDOPRIL (TERT-BUTYLAMINE),BOITE DE 28,COMPRIME,Non Commercialisé
ACEPRIL,4 MG,PERINDOPRIL (TERT-BUTYLAMINE),BOITE DE 28,COMPRIME,Non Commercialisé
